100.000000,0.000000
95.028000,0.931000
90.059000,1.884000
85.085000,2.885000
80.102000,3.900000
75.109000,4.907000
70.106000,5.877000
65.093000,6.780000
60.070000,7.595000
55.039000,8.298000
50.000000,8.871000
44.955000,9.289000
39.905000,9.527000
34.852000,9.559000
29.800000,9.362000
24.750000,8.941000
19.705000,8.279000
14.669000,7.348000
9.647000,6.077000
7.147000,5.261000
4.660000,4.264000
2.198000,2.964000
0.991000,2.074000
0.525000,1.585000
0.300000,1.287000
0.000000,0.000000
0.700000,-1.087000
0.975000,-1.305000
1.509000,-1.646000
2.802000,-2.220000
5.340000,-3.000000
7.853000,-3.565000
10.353000,-4.009000
15.331000,-4.656000
20.295000,-5.095000
25.250000,-5.361000
30.200000,-5.474000
35.148000,-5.439000
40.095000,-5.243000
45.045000,-4.909000
50.000000,-4.459000
54.961000,-3.918000
59.930000,-3.311000
64.907000,-2.660000
69.894000,-1.989000
74.891000,-1.327000
79.989000,-0.716000
84.915000,-0.193000
89.941000,0.184000
94.972000,0.333000
100.000000,0.000000




